Gene stable ID	Chromosome/scaffold name	Gene name
ENSG00000176812	X	METTL1P1
ENSG00000224339	X	SC4MOP
ENSG00000237782	X	PLLPP1
ENSG00000234355	X	FTH1P27
ENSG00000238178	X	MAGEB17-AS1
ENSG00000233921	X	RPS15AP40
ENSG00000229384	X	HMGB1P16
ENSG00000285899	X	
ENSG00000271136	X	
ENSG00000235587	X	GAPDHP65
ENSG00000233571	X	
ENSG00000224960	X	PPP4R3C
ENSG00000228610	X	PDCL2P1
ENSG00000227988	X	TDGF1P1
ENSG00000213997	X	PGAM1P7
ENSG00000173698	X	ADGRG2
ENSG00000131831	X	RAI2
ENSG00000286306	X	
ENSG00000229735	X	FTLP16
ENSG00000214019	X	RBM39P1
ENSG00000242021	X	
ENSG00000047230	X	CTPS2
ENSG00000237661	X	TNIP2P1
ENSG00000228232	X	GAPDHP1
ENSG00000169906	X	S100G
ENSG00000270499	X	MKI67P1
ENSG00000229491	X	
ENSG00000220132	X	CPSF1P2
ENSG00000229347	X	
ENSG00000187516	X	H2AP
ENSG00000197582	X	GPX1P1
ENSG00000102218	X	RP2
ENSG00000241607	X	
ENSG00000012174	X	MBTPS2
ENSG00000233810	X	MOB1AP2
ENSG00000174678	X	FAM47DP
ENSG00000230227	X	SIAH1P1
ENSG00000182798	X	MAGEB17
ENSG00000229310	X	RPP40P1
ENSG00000228933	X	
ENSG00000232834	X	
ENSG00000235685	X	
ENSG00000233663	X	
ENSG00000259977	X	
ENSG00000189132	X	FAM47B
ENSG00000102098	X	SCML2
ENSG00000215286	X	SRSF6P1
ENSG00000231235	X	CTNNBL1P1
ENSG00000226048	X	YBX1P8
ENSG00000181977	X	PYY3
ENSG00000228827	X	
ENSG00000271088	X	
ENSG00000231750	X	NANOGP10
ENSG00000233880	X	NFYCP1
ENSG00000183690	X	EFHC2
ENSG00000229563	X	LINC01204
ENSG00000238190	X	HMGB1P15
ENSG00000180182	X	MED14
ENSG00000147119	X	CHST7
ENSG00000204915	X	MFFP3
ENSG00000233543	X	CHTF8P1
ENSG00000289084	X	
ENSG00000273820	X	USP27X
ENSG00000230039	X	CCNYL5
ENSG00000171365	X	CLCN5
ENSG00000184735	X	DDX53
ENSG00000283380	X	
ENSG00000275681	X	
ENSG00000276474	X	
ENSG00000237528	X	UQCR10P1
ENSG00000269902	X	
ENSG00000215284	X	CHMP5P1
ENSG00000233807	X	AMZ2P3
ENSG00000238247	X	RDXP3
ENSG00000219186	X	FTH1P19
ENSG00000287767	X	
ENSG00000177689	X	MAGEB10
ENSG00000228345	X	
ENSG00000276689	X	
ENSG00000271519	X	
ENSG00000224556	X	
ENSG00000232951	X	IPO7P1
ENSG00000231772	X	
ENSG00000227493	X	
ENSG00000102313	X	ITIH6
ENSG00000165186	X	PTCHD1
ENSG00000169895	X	SYAP1
ENSG00000102043	X	MTMR8
ENSG00000237311	X	
ENSG00000214282	X	KRT8P14
ENSG00000234570	X	ZFRP1
ENSG00000277516	X	
ENSG00000008086	X	CDKL5
ENSG00000287215	X	
ENSG00000196368	X	NUDT11
ENSG00000165164	X	CFAP47
ENSG00000236852	X	SSBL2P
ENSG00000229731	X	
ENSG00000237926	X	
ENSG00000268994	X	FAM236B
ENSG00000124479	X	NDP
ENSG00000230797	X	YY2
ENSG00000230926	X	
ENSG00000233833	X	ETF1P3
ENSG00000227261	X	YWHAZP7
ENSG00000165169	X	DYNLT3
ENSG00000277499	X	
ENSG00000147081	X	AKAP4
ENSG00000069535	X	MAOB
ENSG00000225664	X	YWHAZP8
ENSG00000213754	X	KPNA4P1
ENSG00000155659	X	VSIG4
ENSG00000229168	X	RPL19P20
ENSG00000102221	X	JADE3
ENSG00000189299	X	FOXR2
ENSG00000065923	X	SLC9A7
ENSG00000232794	X	HNRNPDP1
ENSG00000217835	X	RBMXP5
ENSG00000231944	X	PHKA1-AS1
ENSG00000187601	X	MAGEH1
ENSG00000230844	X	ZNF674-AS1
ENSG00000270280	X	SMIM15P1
ENSG00000274588	X	DGKK
ENSG00000215162	X	LINC00269
ENSG00000236276	X	NDP-AS1
ENSG00000283737	X	
ENSG00000233661	X	SPIN4-AS1
ENSG00000087842	X	PIR
ENSG00000234135	X	RPL23AP83
ENSG00000235136	X	PSMA5P1
ENSG00000226199	X	
ENSG00000131080	X	EDA2R
ENSG00000173198	X	CYSLTR1
ENSG00000182220	X	ATP6AP2
ENSG00000147100	X	SLC16A2
ENSG00000204904	X	LINC01545
ENSG00000232186	X	TERF1P7
ENSG00000213684	X	LDHBP2
ENSG00000214745	X	GOT2P6
ENSG00000235170	X	MTND1P31
ENSG00000231831	X	MTHFD1P1
ENSG00000230311	X	TOMM20P4
ENSG00000226502	X	KRT8P27
ENSG00000283546	X	
ENSG00000102316	X	MAGED2
ENSG00000250349	X	
ENSG00000102349	X	KLF8
ENSG00000223707	X	SFR1P2
ENSG00000230247	X	HNRNPH3P1
ENSG00000230665	X	THAP12P1
ENSG00000276897	X	
ENSG00000225715	X	PSMA1P1
ENSG00000237089	X	PCNPP4
ENSG00000271693	X	
ENSG00000155622	X	XAGE2
ENSG00000223574	X	TPMTP4
ENSG00000233063	X	SAR1AP4
ENSG00000196468	X	FGF16
ENSG00000232168	X	P2RY10BP
ENSG00000237252	X	MMADHCP1
ENSG00000147183	X	CPXCR1
ENSG00000224755	X	HMGN1P34
ENSG00000147099	X	HDAC8
ENSG00000094841	X	UPRT
ENSG00000227521	X	TUBB4BP8
ENSG00000226484	X	
ENSG00000232576	X	
ENSG00000237211	X	SETP4
ENSG00000274022	X	
ENSG00000230317	X	LINC01284
ENSG00000234390	X	USP27X-DT
ENSG00000228182	X	MTND2P25
ENSG00000165259	X	HDX
ENSG00000236988	X	CTDSPL2P1
ENSG00000223467	X	CALM1P1
ENSG00000270268	X	CORO1CP1
ENSG00000236365	X	EIF3MP1
ENSG00000235061	X	UBE2V1P7
ENSG00000231706	X	CYCSP43
ENSG00000234766	X	LINC01496
ENSG00000229667	X	UBE2V1P9
ENSG00000174740	X	PABPC5
ENSG00000186288	X	PABPC1L2A
ENSG00000224065	X	SRIP2
ENSG00000174225	X	ARL13A
ENSG00000213704	X	EEF1A1P15
ENSG00000165288	X	BRWD3
ENSG00000271290	X	COPS8P1
ENSG00000237506	X	RPSAP15
ENSG00000287223	X	
ENSG00000229132	X	EIF4A1P10
ENSG00000230889	X	SHC1P1
ENSG00000158813	X	EDA
ENSG00000188419	X	CHM
ENSG00000227581	X	STAU2P1
ENSG00000231206	X	HNRNPA1P25
ENSG00000288059	X	
ENSG00000271433	X	PPATP2
ENSG00000215105	X	TTC3P1
ENSG00000236185	X	HNRNPDLP3
ENSG00000231478	X	FCF1P9
ENSG00000232069	X	RPS29P28
ENSG00000280870	X	MIR325HG
ENSG00000270308	X	TEX101P1
ENSG00000225536	X	STIP1P3
ENSG00000232842	X	KAT7P1
ENSG00000229946	X	B3GNT2P1
ENSG00000231875	X	
ENSG00000124429	X	POF1B
ENSG00000102271	X	KLHL4
ENSG00000213698	X	CAPZA1P3
ENSG00000073905	X	VDAC1P1
ENSG00000236243	X	RPL6P29
ENSG00000228051	X	WBP11P3
ENSG00000229594	X	
ENSG00000220925	X	IGBP1-AS2
ENSG00000122824	X	NUDT10
ENSG00000270826	X	USP37P1
ENSG00000271322	X	
ENSG00000276892	X	
ENSG00000213695	X	RPS7P14
ENSG00000226753	X	FOXN3P2
ENSG00000271205	X	
ENSG00000198934	X	MAGEE1
ENSG00000232735	X	ATG4AP1
ENSG00000271094	X	
ENSG00000229661	X	BUD31P2
ENSG00000274398	X	
ENSG00000232293	X	PAICSP7
ENSG00000230592	X	RPSAP8
ENSG00000270745	X	
ENSG00000102390	X	PBDC1
ENSG00000206062	X	
ENSG00000271157	X	
ENSG00000271056	X	MRPS22P1
ENSG00000236256	X	DIAPH2-AS1
ENSG00000230478	X	
ENSG00000227434	X	RNF19BPX
ENSG00000179300	X	RTL3
ENSG00000236870	X	POMPP1
ENSG00000224775	X	BRAFP1
ENSG00000286523	X	
ENSG00000230275	X	SERBP1P4
ENSG00000226081	X	USP12PX
ENSG00000233446	X	PDK1P2
ENSG00000225012	X	
ENSG00000122145	X	TBX22
ENSG00000153779	X	TGIF2LX
ENSG00000234322	X	ST13P18
ENSG00000232267	X	ACTR3P2
ENSG00000215089	X	KRT18P11
ENSG00000204272	X	NBDY
ENSG00000234889	X	KPNB1P1
ENSG00000237873	X	DLGAP5P2
ENSG00000225025	X	KIF4CP
ENSG00000270759	X	OOEPP1
ENSG00000226837	X	HMGB1P32
ENSG00000131171	X	SH3BGRL
ENSG00000231144	X	EEF1A1P40
ENSG00000215085	X	GTF3C6P1
ENSG00000236190	X	
ENSG00000235447	X	TRAPPC13P1
ENSG00000224523	X	
ENSG00000279437	X	
ENSG00000182574	X	CSGALNACT2P1
ENSG00000228612	X	HK2P1
ENSG00000228847	X	ATP5MC2P4
ENSG00000188917	X	TRMT2B
ENSG00000271209	X	BRDTP1
ENSG00000237014	X	LRRFIP2P1
ENSG00000234039	X	NDUFA5P7
ENSG00000203262	X	
ENSG00000226010	X	
ENSG00000170925	X	TEX13B
ENSG00000282914	X	
ENSG00000226307	X	HNRNPDLP1
ENSG00000226119	X	C3orf49P1
ENSG00000234702	X	VDAC1P3
ENSG00000215070	X	XRCC6P5
ENSG00000237748	X	UQCRBP1
ENSG00000186675	X	MAGEE2
ENSG00000215102	X	TERF1P4
ENSG00000213740	X	SERBP1P1
ENSG00000231001	X	CCNB1IP1P3
ENSG00000238222	X	MKRN4P
ENSG00000237381	X	NT5DC1P1
ENSG00000268104	X	SLC6A14
ENSG00000286077	X	
ENSG00000047597	X	XK
ENSG00000234636	X	MED14OS
ENSG00000227657	X	SERPINA7P1
ENSG00000229090	X	
ENSG00000270446	X	RPL34P36
ENSG00000228519	X	RANBP1P1
ENSG00000187690	X	EZHIP
ENSG00000215174	X	NLRP2B
ENSG00000234130	X	AP2B1P1
ENSG00000047648	X	ARHGAP6
ENSG00000230105	X	
ENSG00000228004	X	MYCLP2
ENSG00000198414	X	TATDN2P1
ENSG00000226854	X	
ENSG00000270456	X	
ENSG00000224054	X	
ENSG00000286977	X	
ENSG00000270583	X	
ENSG00000233887	X	
ENSG00000101844	X	ATG4A
ENSG00000147160	X	AWAT2
ENSG00000101843	X	PSMD10
ENSG00000285445	X	TUSC2P2
ENSG00000271457	X	
ENSG00000130224	X	LRCH2
ENSG00000274374	X	TUBAP6
ENSG00000069509	X	FUNDC1
ENSG00000224294	X	PINCR
ENSG00000147082	X	CCNB3
ENSG00000235239	X	ACTRT1P1
ENSG00000277883	X	NLRP3P1
ENSG00000270678	X	
ENSG00000196767	X	POU3F4
ENSG00000228780	X	
ENSG00000228041	X	EIF3JP1
ENSG00000284618	X	
ENSG00000230543	X	SNX3P1X
ENSG00000283594	X	FAM236C
ENSG00000078589	X	P2RY10
ENSG00000213498	X	TPT1P13
ENSG00000235124	X	KRT8P17
ENSG00000230973	X	
ENSG00000147121	X	KRBOX4
ENSG00000090776	X	EFNB1
ENSG00000213100	X	KRT18P68
ENSG00000227427	X	MDH1P1
ENSG00000226579	X	MTCYBP31
ENSG00000226725	X	PABPC1L2B-AS1
ENSG00000270493	X	
ENSG00000102055	X	PPP1R2C
ENSG00000231765	X	PPP1R11P2
ENSG00000183035	X	CYLC1
ENSG00000224072	X	VEZTP1
ENSG00000230159	X	
ENSG00000147223	X	RIPPLY1
ENSG00000225957	X	
ENSG00000235382	X	MTND4P31
ENSG00000215197	X	PGAM4P1
ENSG00000215035	X	FDPSP5
ENSG00000270791	X	DPRXP6
ENSG00000234901	X	MTND6P13
ENSG00000285944	X	H2AL1MP
ENSG00000271154	X	
ENSG00000185753	X	CXorf38
ENSG00000235656	X	RPL36P18
ENSG00000286072	X	
ENSG00000215093	X	EEF1A1P29
ENSG00000235196	X	
ENSG00000172186	X	HMGN1P35
ENSG00000232332	X	ARL5AP5
ENSG00000225728	X	TMEM230P1
ENSG00000230706	X	TMEM184CP1
ENSG00000235735	X	RPL7AP72
ENSG00000260585	X	
ENSG00000228450	X	NLRP7P1
ENSG00000237206	X	IMPDH1P4
ENSG00000226372	X	DCAF8L1
ENSG00000286163	X	
ENSG00000213653	X	RPL22P22
ENSG00000234613	X	
ENSG00000226881	X	H3P44
ENSG00000277673	X	
ENSG00000236735	X	RPL31P63
ENSG00000186767	X	SPIN4
ENSG00000214018	X	RRM2P3
ENSG00000214009	X	PCNAP3
ENSG00000233403	X	
ENSG00000228301	X	RPL7P55
ENSG00000230916	X	MTCO1P53
ENSG00000224217	X	PRPF4BP1
ENSG00000198354	X	DCAF12L2
ENSG00000286060	X	
ENSG00000236042	X	
ENSG00000234463	X	COX6CP12
ENSG00000237752	X	NCKAP1P1
ENSG00000270736	X	
ENSG00000189401	X	OTUD6A
ENSG00000237891	X	UBE2V1P16
ENSG00000125676	X	THOC2
ENSG00000204271	X	SPIN3
ENSG00000230538	X	PNPLA10P
ENSG00000234404	X	SPRYD7P1
ENSG00000223772	X	GEMIN8P3
ENSG00000225949	X	
ENSG00000078596	X	ITM2A
ENSG00000230956	X	CAPZA1P1
ENSG00000235425	X	RPS7P13
ENSG00000233433	X	CBLL1P1
ENSG00000102021	X	LUZP4
ENSG00000227234	X	SPANXB1
ENSG00000234176	X	HSPA8P1
ENSG00000271021	X	
ENSG00000225912	X	RPL26P36
ENSG00000270619	X	
ENSG00000224701	X	MED28P4
ENSG00000274901	X	
ENSG00000280142	X	
ENSG00000046774	X	MAGEC2
ENSG00000233243	X	VKORC1P1
ENSG00000228532	X	SUMO2P21
ENSG00000229829	X	DUTP4
ENSG00000179542	X	SLITRK4
ENSG00000186462	X	NAP1L2
ENSG00000271502	X	
ENSG00000232149	X	FERP1
ENSG00000214748	X	
ENSG00000270431	X	PHF5AP4
ENSG00000280275	X	
ENSG00000102241	X	HTATSF1
ENSG00000285896	X	
ENSG00000237650	X	OR11Q1P
ENSG00000225970	X	
ENSG00000260683	X	
ENSG00000235334	X	BTG3P1
ENSG00000233548	X	CYCSP44
ENSG00000287370	X	
ENSG00000235976	X	H2BP8
ENSG00000228160	X	
ENSG00000183434	X	TFDP3
ENSG00000173954	X	SNURFL
ENSG00000276205	X	
ENSG00000231501	X	MTND4LP1
ENSG00000242610	X	OR5BH1P
ENSG00000236080	X	YAP1P2
ENSG00000236205	X	
ENSG00000089289	X	IGBP1
ENSG00000189252	X	SPANXN3
ENSG00000278646	X	
ENSG00000226685	X	CT47A12
ENSG00000218728	X	KRT18P44
ENSG00000235304	X	LINC01281
ENSG00000271175	X	
ENSG00000280752	X	LINC00850
ENSG00000287806	X	
ENSG00000271041	X	
ENSG00000233467	X	HAX1P1
ENSG00000233229	X	CNOT7P1
ENSG00000232787	X	OR7L1P
ENSG00000228466	X	TUBB4AP1
ENSG00000224589	X	ORC1P1
ENSG00000275508	X	
ENSG00000229693	X	SKP2P1
ENSG00000227303	X	
ENSG00000131725	X	WDR44
ENSG00000274631	X	
ENSG00000157502	X	PWWP3B
ENSG00000230079	X	STK24P1
ENSG00000286767	X	
ENSG00000280223	X	
ENSG00000235729	X	
ENSG00000236747	X	LINC01282
ENSG00000231694	X	
ENSG00000232549	X	SRD5A1P1
ENSG00000230788	X	CTDSPL2P2
ENSG00000271826	X	PLS3-AS1
ENSG00000231110	X	
ENSG00000225469	X	
ENSG00000237584	X	RAC1P4
ENSG00000230899	X	MAGEA8-AS1
ENSG00000102239	X	BRS3
ENSG00000198881	X	ASB12
ENSG00000230399	X	RBBP8P1
ENSG00000226929	X	CT47A11
ENSG00000270709	X	UFM1P1
ENSG00000235274	X	
ENSG00000287796	X	
ENSG00000288258	X	
ENSG00000234712	X	
ENSG00000229322	X	
ENSG00000237828	X	PA2G4P1
ENSG00000184675	X	AMER1
ENSG00000283692	X	
ENSG00000156925	X	ZIC3
ENSG00000223995	X	RPL32P35
ENSG00000270397	X	
ENSG00000232496	X	RPL3P12
ENSG00000198573	X	SPANXC
ENSG00000270771	X	
ENSG00000176970	X	RPL7L1P11
ENSG00000203923	X	SPANXN1
ENSG00000268883	X	PNMA6B
ENSG00000165509	X	MAGEC3
ENSG00000250625	X	
ENSG00000235254	X	TMEM185AP1
ENSG00000231093	X	TRMT1P1
ENSG00000232177	X	MTND4P24
ENSG00000183171	X	
ENSG00000232160	X	RAP2C-AS1
ENSG00000287017	X	
ENSG00000185903	X	OR11N1P
ENSG00000235329	X	
ENSG00000171116	X	HSFX1
ENSG00000182712	X	CMC4
ENSG00000223516	X	AFF2-IT1
ENSG00000225689	X	
ENSG00000270646	X	
ENSG00000228042	X	M6PRP1
ENSG00000226064	X	PGBD4P6
ENSG00000235730	X	OR2AF1P
ENSG00000229562	X	ZFYVE9P1
ENSG00000156009	X	MAGEA8
ENSG00000227881	X	ASS1P5
ENSG00000271660	X	
ENSG00000010404	X	IDS
ENSG00000279585	X	
ENSG00000224548	X	
ENSG00000234696	X	GPR50-AS1
ENSG00000270251	X	
ENSG00000237208	X	
ENSG00000228517	X	CT47A7
ENSG00000274579	X	
ENSG00000213924	X	HNRNPH1P2
ENSG00000182195	X	LDOC1
ENSG00000224630	X	
ENSG00000214827	X	MTCP1
ENSG00000235539	X	MTND1P33
ENSG00000241489	X	
ENSG00000213423	X	RBMX2P2
ENSG00000224931	X	
ENSG00000237741	X	
ENSG00000185247	X	MAGEA11
ENSG00000102195	X	GPR50
ENSG00000269911	X	FAM226B
ENSG00000286085	X	
ENSG00000228833	X	
ENSG00000166049	X	PASD1
ENSG00000147255	X	IGSF1
ENSG00000223377	X	
ENSG00000241418	X	MCRIP2P1
ENSG00000226414	X	MTCYBP38
ENSG00000229269	X	
ENSG00000224732	X	MAGEA7P
ENSG00000238039	X	
ENSG00000225110	X	PNMA6F
ENSG00000197021	X	EOLA2
ENSG00000165775	X	FUNDC2
ENSG00000227779	X	NDUFB3P5
ENSG00000241769	X	EOLA1-DT
ENSG00000214925	X	RPL36AP52
ENSG00000197620	X	EOLA1
ENSG00000196406	X	SPANXD
ENSG00000230130	X	MTND2P39
ENSG00000235598	X	RRM2P4
ENSG00000133135	X	RNF128
ENSG00000269993	X	
ENSG00000234748	X	
ENSG00000226388	X	ELL2P4
ENSG00000102243	X	VGLL1
ENSG00000231686	X	ANKRD11P2
ENSG00000225660	X	
ENSG00000176289	X	IDSP1
ENSG00000155495	X	MAGEC1
ENSG00000182508	X	LHFPL1
ENSG00000185010	X	F8
ENSG00000228717	X	NAB1P1
ENSG00000215054	X	HNRNPCP10
ENSG00000227183	X	HDGFP1
ENSG00000183631	X	PRR32
ENSG00000224314	X	TCERG1P1
ENSG00000271211	X	
ENSG00000235699	X	CXorf51B
ENSG00000155966	X	AFF2
ENSG00000198157	X	HMGN5
ENSG00000213652	X	HMGB3P30
ENSG00000129680	X	MAP7D3
ENSG00000204086	X	RPA4
ENSG00000198889	X	DCAF12L1
ENSG00000213526	X	SETP8
ENSG00000230823	X	CBX1P1
ENSG00000234288	X	OR1AA1P
ENSG00000182890	X	GLUD2
ENSG00000288098	X	
ENSG00000287098	X	
ENSG00000234592	X	TJAP1P1
ENSG00000234785	X	EEF1GP5
ENSG00000277215	X	SPANXA2-OT1
ENSG00000133138	X	TBC1D8B
ENSG00000226802	X	RUVBL2P1
ENSG00000238066	X	
ENSG00000214628	X	NDUFB5P2
ENSG00000133131	X	MORC4
ENSG00000256709	X	CSGALNACT2P2
ENSG00000231963	X	
ENSG00000155959	X	VBP1
ENSG00000123496	X	IL13RA2
ENSG00000287379	X	
ENSG00000285547	X	
ENSG00000067177	X	PHKA1
ENSG00000102383	X	ZDHHC15
ENSG00000271346	X	
ENSG00000235991	X	
ENSG00000232249	X	
ENSG00000238223	X	
ENSG00000224978	X	CD84P1
ENSG00000225858	X	MATR3P1
ENSG00000156920	X	ADGRG4
ENSG00000235892	X	PKMP2
ENSG00000229979	X	HMGN2P48
ENSG00000233254	X	RPL21P134
ENSG00000224816	X	NAP1L4P2
ENSG00000155961	X	RAB39B
ENSG00000225235	X	INTS6L-AS1
ENSG00000223438	X	
ENSG00000227505	X	SLIRPP1
ENSG00000186310	X	NAP1L3
ENSG00000234161	X	PABPC5-AS1
ENSG00000237860	X	SLC6A14P2
ENSG00000189372	X	
ENSG00000236077	X	SLC6A14P1
ENSG00000229145	X	ACTBP1
ENSG00000228855	X	
ENSG00000229082	X	OR5AW1P
ENSG00000147231	X	RADX
ENSG00000204019	X	CT83
ENSG00000236413	X	
ENSG00000229733	X	
ENSG00000237225	X	OR13K1P
ENSG00000203926	X	SPANXA2
ENSG00000207435	X	RNU6-114P
ENSG00000207628	X	MIR651
ENSG00000252291	X	
ENSG00000212214	X	SNORA48B
ENSG00000207151	X	Y_RNA
ENSG00000207320	X	Y_RNA
ENSG00000201660	X	
ENSG00000265284	X	MIR4770
ENSG00000263652	X	MIR548AX
ENSG00000207332	X	RNU6-146P
ENSG00000239333	X	RN7SL658P
ENSG00000278218	X	
ENSG00000207025	X	Y_RNA
ENSG00000265144	X	MIR548AM
ENSG00000200852	X	RNA5SP499
ENSG00000252978	X	RN7SKP183
ENSG00000206716	X	RNU6-133P
ENSG00000252486	X	Y_RNA
ENSG00000206639	X	Y_RNA
ENSG00000206733	X	RNU6-641P
ENSG00000207122	X	RNU6-591P
ENSG00000206983	X	RNU6-49P
ENSG00000221466	X	MIR548AJ2
ENSG00000238606	X	RNU7-7P
ENSG00000252411	X	RNU6-1087P
ENSG00000264618	X	RN7SL732P
ENSG00000263730	X	MIR3937
ENSG00000238730	X	RNU7-164P
ENSG00000206896	X	RNU6-1124P
ENSG00000212560	X	RNU6-630P
ENSG00000212347	X	
ENSG00000207870	X	MIR221
ENSG00000199226	X	RNU6-50P
ENSG00000207725	X	MIR222
ENSG00000277721	X	Metazoa_SRP
ENSG00000278838	X	Metazoa_SRP
ENSG00000200702	X	Y_RNA
ENSG00000202495	X	Y_RNA
ENSG00000221716	X	SNORA11
ENSG00000201341	X	RNU6-421P
ENSG00000207758	X	MIR532
ENSG00000207768	X	MIR188
ENSG00000207785	X	MIR500A
ENSG00000208015	X	MIR362
ENSG00000211538	X	MIR501
ENSG00000239057	X	MIR500B
ENSG00000207970	X	MIR660
ENSG00000272080	X	MIR502
ENSG00000244006	X	RN7SL799P
ENSG00000284567	X	MIR223
ENSG00000212434	X	U3
ENSG00000275335	X	MIR8088
ENSG00000266328	X	MIR4536-2
ENSG00000211991	X	MIR676
ENSG00000199601	X	RNU6-562P
ENSG00000283334	X	MIR4536-1
ENSG00000201447	X	RNA5SP509
ENSG00000285776	X	5S_rRNA
ENSG00000273788	X	U3
ENSG00000283622	X	MIR4328
ENSG00000202183	X	
ENSG00000239745	X	RN7SL790P
ENSG00000283435	X	MIR1321
ENSG00000200635	X	Y_RNA
ENSG00000201826	X	RNU6-867P
ENSG00000222440	X	RNU2-26P
ENSG00000212495	X	RNU6-332P
ENSG00000200422	X	
ENSG00000277717	X	U6
ENSG00000201567	X	RNA5SP510
ENSG00000221187	X	MIR548M
ENSG00000252016	X	
ENSG00000283242	X	MIR384
ENSG00000207995	X	MIR325
ENSG00000201271	X	RNU1-112P
ENSG00000223259	X	RNA5SP508
ENSG00000199051	X	MIR361
ENSG00000202410	X	Y_RNA
ENSG00000199567	X	Y_RNA
ENSG00000206826	X	RNU6-974P
ENSG00000212546	X	RNU6-995P
ENSG00000252810	X	RNU6-345P
ENSG00000212623	X	RNU6-493P
ENSG00000222667	X	RNU6-394P
ENSG00000252296	X	
ENSG00000223260	X	RN7SKP194
ENSG00000202407	X	Y_RNA
ENSG00000239008	X	
ENSG00000201443	X	RNU6-309P
ENSG00000207426	X	Y_RNA
ENSG00000277900	X	Metazoa_SRP
ENSG00000275110	X	
ENSG00000222122	X	RNU6-648P
ENSG00000265260	X	RN7SL74P
ENSG00000271907	X	SNORA35B
ENSG00000212241	X	Y_RNA
ENSG00000252441	X	
ENSG00000207515	X	RNU6-555P
ENSG00000207363	X	Y_RNA
ENSG00000242998	X	RN7SL379P
ENSG00000206752	X	RNU6-1323P
ENSG00000263515	X	MIR548AN
ENSG00000207033	X	RNU6-154P
ENSG00000265456	X	MIR3672
ENSG00000206862	X	Y_RNA
ENSG00000212321	X	U3
ENSG00000252930	X	RNU6-1015P
ENSG00000207100	X	
ENSG00000221463	X	MIR1277
ENSG00000252163	X	RN7SKP31
ENSG00000216060	X	MIR934
ENSG00000207041	X	RNU6-3P
ENSG00000199878	X	RN7SKP149
ENSG00000201594	X	RNA5SP517
ENSG00000201000	X	RNA5SP516
ENSG00000207866	X	MIR514A2
ENSG00000207868	X	MIR514A1
ENSG00000202473	X	RN7SKP81
ENSG00000221081	X	MIR320D2
ENSG00000239579	X	RN7SL325P
ENSG00000252219	X	MIR892C
ENSG00000207867	X	MIR514A3
ENSG00000216075	X	MIR890
ENSG00000222114	X	RNU6-985P
ENSG00000216005	X	MIR888
ENSG00000215943	X	MIR892A
ENSG00000216098	X	MIR892B
ENSG00000216064	X	MIR891B
